Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

-8.86399961	-0.00476089	-0.00027467	-0.00286874	0.00109867
-8.85599961	-0.00589007	-0.00088504	-0.00619526	0.00396741
-8.84799961	-0.00439467	-0.00088504	-0.00015259	0.00210578
-8.83999961	-0.00350963	-0.00198370	-0.00238044	0.00296030
-8.83199961	-0.00439467	-0.00100711	-0.00100711	-0.00299081
-8.82399961	-0.00326548	-0.00112919	-0.00027467	0.00073244
-8.81599961	-0.00427259	0.00061037	0.00048830	-0.00137333
-8.80799961	-0.00213630	-0.00149541	0.00012207	-0.00064089
-8.79999961	-0.00262459	0.00170904	-0.00076296	0.00198370
-8.79199961	-0.00476089	-0.00161748	-0.00064089	-0.00039674
-8.78399961	-0.00363170	-0.00259407	-0.00137333	-0.00015259
-8.77599961	-0.00152593	0.00109867	-0.00112919	-0.00027467
-8.76799961	-0.00750755	0.00146489	0.00036622	0.00247200
-8.75999961	-0.00625629	-0.00518815	0.00234993	-0.00161748
-8.75199961	-0.00213630	-0.00210578	-0.00064089	-0.00161748
-8.74399961	-0.00302133	0.00296030	0.00247200	-0.00335704
-8.73599961	-0.00537126	-0.00186163	-0.00076296	0.00085452
-8.72799961	-0.00027467	-0.00433363	0.00158696	-0.00424207
-8.71999961	-0.00412000	-0.00064089	-0.00112919	0.00332652
-8.71199962	-0.00839259	-0.00161748	-0.00582904	0.00122074
-8.70399962	-0.00363170	-0.00027467	-0.00225837	0.00198370
-8.69599962	-0.00350963	-0.00173956	0.00109867	-0.00100711
-8.68799962	-0.00476089	-0.00259407	0.00024415	-0.00448622
-8.67999962	-0.00439467	-0.00039674	-0.00125126	0.00570696
-8.67199962	-0.00302133	-0.00469985	0.00024415	0.00332652
-8.66399962	-0.00589007	-0.00161748	-0.00262459	-0.00149541
-8.65599962	-0.00439467	0.00109867	0.00158696	-0.00027467
-8.64799962	-0.00375378	-0.00234993	-0.00100711	-0.00137333
-8.63999962	-0.00177007	-0.00015259	-0.00100711	-0.00064089
-8.63199962	-0.00714133	-0.00039674	0.00000000	0.00097659
-8.62399962	-0.00451674	-0.00433363	-0.00286874	0.00048830
-8.61599962	-0.00363170	-0.00051881	0.00085452	0.00073244
-8.60799962	-0.00650044	-0.00247200	0.00234993	-0.00659200
-8.59999962	-0.00662252	0.00012207	0.00283822	-0.00064089
-8.59199962	-0.00662252	-0.00210578	0.00073244	0.00259407
-8.58399962	0.00134281	0.00097659	-0.00027467	-0.00274667
-8.57599962	-0.00637837	-0.00408948	-0.00311289	-0.00238044
-8.56799962	-0.00625629	-0.00088504	-0.00051881	0.00158696
-8.55999962	-0.00125126	-0.00259407	0.00234993	-0.00335704
-8.55199962	-0.00302133	-0.00494400	0.00122074	0.00134281
-8.54399962	-0.00262459	-0.00421155	-0.00064089	0.00036622
-8.53599962	-0.00238044	-0.00051881	0.00012207	0.00308237
-8.52799962	-0.00427259	-0.00210578	0.00061037	-0.00225837
-8.51999962	-0.00463881	-0.00372326	0.00061037	-0.00161748
-8.51199962	-0.00476089	-0.00271615	0.00158696	0.00158696
-8.50399962	-0.00387585	0.00256356	0.00085452	0.00085452
-8.49599962	-0.00152593	-0.00222785	-0.00659200	0.00259407
-8.48799962	-0.00399793	-0.00137333	-0.00100711	0.00000000
-8.47999962	-0.00289926	0.00024415	-0.00027467	-0.00238044
-8.47199962	-0.00363170	-0.00125126	0.00036622	-0.00918607
-8.46399962	-0.00412000	-0.00076296	-0.00015259	-0.00213630
-8.45599962	-0.00439467	-0.00271615	-0.00631733	0.00421155
-8.44799962	-0.00439467	-0.00186163	0.00024415	0.00061037
-8.43999962	-0.00564592	-0.00088504	0.00543230	-0.00173956
-8.43199962	-0.00714133	0.00183111	0.00183111	-0.00173956
-8.42399962	-0.00412000	-0.00051881	-0.00088504	-0.00347911
-8.41599962	0.00012207	0.00085452	-0.00299081	0.00369274
-8.40799962	-0.00549333	-0.00125126	-0.00210578	0.00543230
-8.39999962	-0.00524918	0.00344859	-0.00039674	0.00222785
-8.39199962	-0.00576800	0.00280770	0.00012207	-0.00399793
-8.38399962	-0.00463881	-0.00015259	0.00271615	-0.00646992
-8.37599962	-0.00637837	-0.00360118	-0.00509659	0.00234993
-8.36799962	-0.00650044	-0.00396741	-0.00299081	0.00357067
-8.35999963	-0.00399793	0.00000000	0.00122074	-0.00149541
-8.35199963	-0.00439467	-0.00161748	0.00344859	-0.00201422
-8.34399963	-0.00015259	0.00122074	0.00109867	-0.00311289
-8.33599963	-0.00576800	-0.00161748	-0.00335704	0.00085452
-8.32799963	-0.00549333	0.00170904	-0.00274667	-0.00027467
-8.31999963	-0.00427259	-0.00027467	-0.00015259	0.00122074
-8.31199963	-0.00476089	0.00085452	0.00222785	0.00036622
-8.30399963	-0.00451674	-0.00247200	-0.00137333	-0.00412000
-8.29599963	-0.00338756	-0.00186163	-0.00335704	0.00183111
-8.28799963	-0.00027467	-0.00323496	0.00012207	0.00506607
-8.27999963	-0.00524918	0.00061037	-0.00238044	0.00247200
-8.27199963	-0.00412000	-0.00125126	-0.00149541	-0.00473037
-8.26399963	-0.00427259	-0.00088504	0.00195319	-0.00238044
-8.25599963	-0.00363170	-0.00311289	0.00012207	-0.00286874
-8.24799963	-0.00625629	-0.00210578	-0.00100711	0.00198370
-8.23999963	0.00085452	0.00109867	0.00061037	0.00457778
-8.23199963	-0.00039674	0.00146489	0.00048830	-0.00360118
-8.22399963	-0.00851466	-0.00039674	0.00073244	-0.00238044
-8.21599963	-0.00387585	0.00012207	-0.00015259	-0.00137333
-8.20799963	-0.00363170	-0.00161748	-0.00186163	0.00036622
-8.19999963	-0.00189215	0.00207526	0.00122074	0.00210578
-8.19199963	-0.00387585	-0.00039674	0.00134281	-0.00201422
-8.18399963	-0.00427259	-0.00173956	-0.00210578	0.00234993
-8.17599963	-0.00326548	0.00097659	-0.00631733	-0.00015259
-8.16799963	-0.00250252	0.00308237	0.00036622	-0.00262459
-8.15999963	-0.00238044	0.00146489	0.00271615	-0.00161748
-8.15199963	-0.00302133	-0.00234993	-0.00173956	-0.00027467
-8.14399963	-0.00637837	-0.00112919	-0.00137333	-0.00015259
-8.13599963	-0.00662252	0.00183111	-0.00100711	0.00073244
-8.12799963	-0.00412000	-0.00149541	-0.00311289	-0.00088504
-8.11999963	-0.00338756	-0.00149541	0.00357067	-0.00213630
-8.11199963	-0.00427259	-0.00076296	-0.00015259	0.00283822
-8.10399963	-0.00613422	-0.00039674	-0.00112919	0.00619526
-8.09599963	-0.00076296	0.00000000	-0.00149541	0.00134281
-8.08799963	-0.00338756	-0.00299081	0.00207526	0.00332652
-8.07999963	-0.00463881	0.00256356	0.00048830	-0.00360118
-8.07199963	-0.00427259	0.00158696	0.00283822	-0.00509659
-8.06399963	-0.00476089	-0.00088504	0.00195319	-0.00039674
-8.05599963	-0.00289926	0.00146489	-0.00173956	0.00198370
-8.04799963	-0.00686667	-0.00125126	0.00012207	-0.00161748
-8.03999963	-0.00250252	-0.00283822	0.00320444	-0.00448622
-8.03199963	-0.00225837	-0.00161748	-0.00125126	0.00048830
-8.02399963	-0.00375378	-0.00494400	-0.00186163	0.00134281
-8.01599963	-0.00326548	-0.00076296	-0.00384533	0.00048830
-8.00799963	-0.00112919	0.00097659	0.00061037	0.00036622
-7.99999964	-0.00262459	-0.00027467	0.00085452	-0.00201422
-7.99199964	-0.00064089	-0.00210578	-0.00238044	0.00170904
-7.98399964	-0.00476089	-0.00384533	-0.00027467	0.00247200
-7.97599964	-0.00100711	-0.00100711	-0.00238044	0.00085452
-7.96799964	-0.00375378	0.00122074	0.00000000	0.00198370
-7.95999964	-0.00201422	0.00061037	0.00122074	-0.00311289
-7.95199964	-0.00900296	-0.00137333	-0.00137333	-0.00137333
-7.94399964	-0.00375378	-0.00161748	0.00109867	0.00012207
-7.93599964	-0.00488296	-0.00198370	-0.00198370	0.00210578
-7.92799964	-0.00152593	-0.00088504	0.00357067	-0.00460830
-7.91999964	-0.00564592	-0.00051881	0.00109867	0.00085452
-7.91199964	-0.00427259	-0.00234993	-0.00238044	-0.00064089
-7.90399964	0.00024415	0.00183111	-0.00015259	0.00109867
-7.89599964	-0.00326548	-0.00311289	-0.00088504	-0.00299081
-7.88799964	-0.00549333	-0.00039674	-0.00173956	0.00296030
-7.87999964	-0.00302133	-0.00064089	-0.00210578	0.00097659
-7.87199964	-0.00274667	0.00097659	-0.00137333	-0.00424207
-7.86399964	-0.00137333	-0.00088504	0.00393689	-0.00051881
-7.85599964	-0.00326548	-0.00299081	0.00320444	-0.00250252
-7.84799964	-0.00213630	-0.00186163	-0.00250252	0.00408948
-7.83999964	-0.00476089	-0.00210578	-0.00436415	0.00344859
-7.83199964	-0.00549333	0.00012207	-0.00360118	0.00210578
-7.82399964	-0.00439467	-0.00161748	0.00222785	-0.00509659
-7.81599964	-0.00412000	-0.00064089	0.00073244	-0.00262459
-7.80799964	-0.00189215	-0.00125126	-0.00100711	-0.00213630
-7.79999964	-0.00564592	-0.00173956	-0.00509659	0.00433363
-7.79199964	-0.00576800	-0.00039674	-0.00051881	0.00283822
-7.78399964	-0.00250252	-0.00222785	0.00445570	-0.00485244
-7.77599964	-0.00399793	-0.00137333	0.00048830	-0.00598163
-7.76799964	-0.00262459	-0.00198370	-0.00323496	0.00210578
-7.75999964	-0.00363170	-0.00039674	-0.00064089	0.00457778
-7.75199964	-0.00314341	-0.00064089	-0.00112919	0.00061037
-7.74399964	-0.00326548	-0.00283822	0.00207526	-0.00100711
-7.73599964	-0.00338756	0.00442518	0.00097659	-0.00015259
-7.72799964	-0.00289926	-0.00161748	-0.00683615	0.00134281
-7.71999964	-0.00350963	-0.00482192	-0.00509659	0.00457778
-7.71199964	-0.00213630	0.00012207	-0.00039674	0.00036622
-7.70399964	-0.00589007	0.00170904	0.00207526	-0.00225837
-7.69599964	-0.00488296	-0.00259407	0.00369274	-0.00225837
-7.68799964	-0.00289926	-0.00015259	-0.00311289	0.00000000
-7.67999964	-0.00601215	-0.00234993	-0.00286874	0.00769066
-7.67199964	-0.00387585	-0.00247200	0.00036622	-0.00201422
-7.66399964	-0.00387585	0.00170904	-0.00173956	-0.00201422
-7.65599964	-0.00387585	0.00000000	-0.00015259	0.00357067
-7.64799965	-0.00451674	-0.00027467	-0.00161748	0.00134281
-7.63999965	-0.00549333	-0.00247200	0.00000000	0.00396741
-7.63199965	-0.00112919	-0.00125126	0.00012207	0.00170904
-7.62399965	-0.00488296	0.00158696	0.00122074	0.00061037
